result_id,run_id,method,heldout_crop,n_labels,mAP50,mAP50_95,precision,recall,f1,latency_ms,model_size_mb,train_time_min,split_version,seed
r_scratch_kiwi_b25_s42,scratch_kiwi_b25_s42,scratch,kiwi,25,0.0089,,0.0121,0.6016,0.0238,,5.96,0.88,v1,42
r_scratch_kiwi_b50_s42,scratch_kiwi_b50_s42,scratch,kiwi,50,0.6989,,0.6784,0.645,0.6613,,5.96,1.53,v1,42
r_scratch_kiwi_b100_s42,scratch_kiwi_b100_s42,scratch,kiwi,100,0.8931,,0.8587,0.8022,0.8295,,5.97,3.9,v1,42
r_scratch_kiwi_b200_s42,scratch_kiwi_b200_s42,scratch,kiwi,181,0.9052,,0.8536,0.8691,0.8613,,5.97,5.02,v1,42
r_scratch_kiwi_b500_s42,scratch_kiwi_b500_s42,scratch,kiwi,181,0.9052,,0.8536,0.8691,0.8613,,5.97,5.03,v1,42
r_scratch_kiwi_b25_s43,scratch_kiwi_b25_s43,scratch,kiwi,25,0.0042,,0.0092,0.4553,0.018,,5.96,0.41,v1,43
r_scratch_kiwi_b50_s43,scratch_kiwi_b50_s43,scratch,kiwi,50,0.0114,,0.0149,0.7398,0.0292,,5.96,0.42,v1,43
r_scratch_kiwi_b100_s43,scratch_kiwi_b100_s43,scratch,kiwi,100,0.8828,,0.8307,0.811,0.8207,,5.97,3.26,v1,43
r_scratch_kiwi_b200_s43,scratch_kiwi_b200_s43,scratch,kiwi,181,0.914,,0.8334,0.8814,0.8567,,5.97,4.85,v1,43
r_scratch_kiwi_b500_s43,scratch_kiwi_b500_s43,scratch,kiwi,181,0.914,,0.8334,0.8814,0.8567,,5.97,4.9,v1,43
r_scratch_kiwi_b25_s44,scratch_kiwi_b25_s44,scratch,kiwi,25,0.0,,0.0001,0.0054,0.0002,,5.96,0.44,v1,44
r_scratch_kiwi_b50_s44,scratch_kiwi_b50_s44,scratch,kiwi,50,0.0,,0.0003,0.0163,0.0006,,5.96,0.58,v1,44
r_scratch_kiwi_b100_s44,scratch_kiwi_b100_s44,scratch,kiwi,100,0.866,,0.7814,0.813,0.7969,,5.97,2.88,v1,44
r_scratch_kiwi_b200_s44,scratch_kiwi_b200_s44,scratch,kiwi,181,0.8975,,0.8197,0.8943,0.8554,,5.97,4.41,v1,44
r_scratch_kiwi_b500_s44,scratch_kiwi_b500_s44,scratch,kiwi,181,0.8975,,0.8197,0.8943,0.8554,,5.97,4.43,v1,44
r_coco_transfer_kiwi_b25_s42,coco_transfer_kiwi_b25_s42,coco_transfer,kiwi,25,0.8919,,0.8732,0.813,0.842,,5.97,1.52,v1,42
r_coco_transfer_kiwi_b50_s42,coco_transfer_kiwi_b50_s42,coco_transfer,kiwi,50,0.9246,,0.8969,0.8645,0.8804,,5.96,1.73,v1,42
r_coco_transfer_kiwi_b100_s42,coco_transfer_kiwi_b100_s42,coco_transfer,kiwi,100,0.9465,,0.9154,0.8916,0.9034,,5.96,1.68,v1,42
r_coco_transfer_kiwi_b200_s42,coco_transfer_kiwi_b200_s42,coco_transfer,kiwi,181,0.9407,,0.8962,0.9125,0.9043,,5.96,2.63,v1,42
r_coco_transfer_kiwi_b500_s42,coco_transfer_kiwi_b500_s42,coco_transfer,kiwi,181,0.9407,,0.8962,0.9125,0.9043,,5.96,2.65,v1,42
r_coco_transfer_kiwi_b25_s43,coco_transfer_kiwi_b25_s43,coco_transfer,kiwi,25,0.871,,0.7854,0.8032,0.7942,,5.96,1.34,v1,43
r_coco_transfer_kiwi_b50_s43,coco_transfer_kiwi_b50_s43,coco_transfer,kiwi,50,0.9309,,0.8641,0.8787,0.8714,,5.96,1.72,v1,43
